
TTD - Therapeutic Targets Database Full Data Download File
Version 6.1.01 (2017.10.04)
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/group/bidd.htm
Any question about data provided here, please contact with:
Prof. Chen (csccyz@nus.edu.sg) and Prof. Zhu (zhufeng@cqu.edu.cn, http://idrb.cqu.edu.cn/Peoples-PI.php)

--------------------------------------------------------------------------------------------------------

TTDDRUGID	LNM	Indication	ICD9	ICD10
D0A5TS	EVT-101	Neuropathic pain	356.0, 356.8	G64, G90.0
D0A5XN	Sprodiamide	Diagnostic imaging	331	G30, I73.9
D0A5ZJ	DW-1350	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
D0A5ZL	Anti-LINGO	Multiple scierosis	340	G35
D0A6AP	Indigotindisulfonate	Bladder disease		N30-N32
D0A6CQ	Levobetaxolol	Chronic open-angle glaucoma; Ocular hypertension		H40
D0A6DI	RG-1662	Alzheimer disease	331	G30
D0A6DK	Ruthenium (II) phosphine/picolinate complexes	Mycobacterium tuberculosis infection		A15-A19
D0A6DY	ATM AVI	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0A6EE	CHIR-01020	Obesity	278	E66
D0A6KA	CLL immunotherapeutic vaccine	Chronic lymphocytic leukaemia		C91
D0A6KR	Balsalazide	Inflammatory bowel disease	555, 556	K50, K51
D0A6LT	PEG-bHb-CO	Cardiovascular disorder		I00-I99
D0A6MN	SB773812	Schizophrenia	295	F20
D0A6MS	Parke-Davis 9	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0A6NP	A35566-A	Cancer	140-229	C00-C96
D0A6OF	BMS-181321	Diagnostic imaging	331	G30, I73.9
D0A6OJ	TP-102	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0A6OO	PSI 7851	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0A6OS	TAK-379	Type 2 diabetes	250	E11
D0A6PD	Oralgen Tree Pollen	Allergy	995.3	T78.4
D0A6PL	S-14506	Anxiety disorder	300, 311	F32, F40-F42
D0A6RI	Meganucleases	Herpesvirus infection		B00
D0A6RX	Anti-hTfR IgG3-Av	Cancer	140-229	C00-C96
D0A6UQ	ETX-1153a	Mrsa infection	41.12	A49.02
D0A6VA	PVP-ILH liposomes	Conjunctivitis	372	H10
D0A6VD	VS-4718	Solid tumours	140-199, 210-229	C00-D48
D0A6VE	FIDUXOSIN HYDROCHLORIDE	Prostate disease		N42.9
D0A6WA	GAM-501	Diabetic foot ulcer	707	L88-L89
D0A6WQ	AG-4070	Arteriosclerosis	440	I70
D0A6XW	HIV integrase inhibitors	Human immunodeficiency virus infection	279.3	B20-B26
D0A6YN	SUN-C5174	Peripheral vascular disease	443.9	I73.9
D0A6YS	Oral immunoglobulin	Pediatric cancer	140-229	C00-C96
D0A7AG	CP51-2705	Cancer	140-229	C00-C96
D0A7CH	WIP-901	Osteoarthritis	715	M15-M19, M47
D0A7CZ	PTX-007	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0A7GA	AMT-2003	Hepatocellular carcinoma	155	C22.0
D0A7GE	Avanz	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
D0A7GH	ATI-2341	Bone marrow transplantation	279.5, 996	D89.8, T86
D0A7GI	BPZE-1	Bordetella pertussis infection		A37.0
D0A7GX	Echovist	Gynecological disorder		N70-N98
D0A7HY	TAT-120	Ischemic heart diseases	410-414	I20-I25
D0A7JH	WY-50295-tromethamine	Asthma		J45
D0A7KI	Abaperidone	Schizophrenia	295	F20
D0A7LL	PSMA ADC therapeutic	Prostate cancer	185	C61
D0A7MY	TECFIDERA	Multiple scierosis	340	G35
D0A7MY-D0GY5Z	Aspirin + Dimethyl fumarate	Healthy volunteers		
D0A7NB	Siplizumab	Cancer; Psoriasis	140-229, 696	L40
D0A7NB	Siplizumab	Lymphoma	202.8, 208.9	C81-C86
D0A7NI	LIM-5310	Toxicity		T36-T50, T51-T65
D0A7NZ	CNTO-6785	Rheumatoid arthritis	710-719, 714	M05-M06
D0A7PW	CP-903397	Schizophrenia	295	F20
D0A7QN	Moxisylyte	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
D0A7UK	PDS-0103	Herpes simplex virus infection	54	B00
D0A7UT	PF-04605412	Solid tumours	140-199, 210-229	C00-D48
D0A7VF	CP-79328	Cancer	140-229	C00-C96
D0A7VK	TS antisense + 5-FU	Cancer	140-229	C00-C96
D0A7WO	NT-501	Ocular inflammation	370.33	H16.229
D0A7WT	Dornase alpha	Cystic fibrosis	277	E84
D0A7XQ	ON-044580	Cancer	140-229	C00-C96
D0A7ZB	HR24 antibody	Melanoma	172	C43
D0A7ZK	E2006	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
D0A7ZX	Pretargeting TF2	Colorectal cancer	153, 154	C18-C21
D0A8AL	PFK-015	Cancer	140-229	C00-C96
D0A8BK	MEN-10979	HIV-1 infection	001-139, 042	B20-B24
D0A8CG	Lonapalene	Psoriasis	696	L40
D0A8CJ	Tiopronin	Cystine urolithiasis; Cystinuria	594.0, 594.1, 594.2, 594.8, 594.9	N21.0-N21.9, E72.0
D0A8EG	TAK-591	Hypertension	401	I10-I16
D0A8ES	EC-0845	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0A8FB	Trimethobenzamide	Postoperative nausea and vomiting		R11
D0A8FD	S-18327	Psychotic disorders	290-299	F20-F29
D0A8GM	Ublituximab	Chronic lymphocytic leukaemia		C91
D0A8GM-D0O8SJ	ublituximab + tgr-1202	Chronic lymphocytic leukaemia; Non-hodgkin's lymphoma		C91.1, C859
D0A8HL	DMP-811	Hypertension	401	I10-I16
D0A8HN	Iboctadekin	Non-hodgkin's lymphoma; Ovarian cancer	183	C85, C56
D0A8IE	AM-831	Schizophrenia	295	F20
D0A8IM	CF-238	Infections	001-139	A00-B99
D0A8IQ	ATX-MS2	Multiple scierosis	340	G35
D0A8JB	VAX-125	Human immunodeficiency virus infection; Influenza A infection	279.3	B20-B26, J10, J11
D0A8JM	RDP58	Diarrhea	787.91	A09, K59.1
D0A8KQ	GSK2256294	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D0A8KX	M-518101	Psoriasis	696	L40
D0A8LP	AG2034	Solid tumours	140-199, 210-229	C00-D48
D0A8LZ	BCG vaccine	Bladder cancer	188	C67
D0A8MH	M-516102	Pruritus	698	L29
D0A8NN	CT-637	Autoimmune diabetes		E08-E13
D0A8NW	PC-1005	Human immunodeficiency virus infection	279.3	B20-B26
D0A8PC	Influenza cell culture vaccine	Influenza virus		J11.1
D0A8PU	CDK5/p25 inhibitor	Neurodegenerative disease	330-337	G30-G32
D0A8QM	Lu-AA34893	Anxiety disorder	300, 311	F32, F40-F42
D0A8QZ	HDAC4 inhibtors	Huntington's disease	294.1, 333.4	F02.2, G10
D0A8RP	INDOPY-1	Human immunodeficiency virus infection	279.3	B20-B26
D0A8RX	Schizophyllan	Cancer	140-229	C00-C96
D0A8UP	compound 41	Pancreatitis	577.0-577.1	K85, K86.0K86.1
D0A8XN	Labetalol	Hypertension	401	I10-I16
D0A8XN-D0U4UQ	Hydrochlorothiazide + Labetalol	Hypertension	401	I10-I16
D0A8XY	Altropane	Attention deficit hyperactivity disorder	314	F90
D0A8ZD	SR-33805	Angina pectoris	413	I20
D0A9BI	Hi-8 PrimeBoost therapeutic melanoma vaccine	Melanoma	172	C43
D0A9BO	PG-120	Autoimmune diabetes		E08-E13
D0A9BU	CB-24	Cancer	140-229	C00-C96
D0A9CV	INX-3280	Cancer	140-229	C00-C96
D0A9CY	Pentisomide	Heart arrhythmia		I47-I49
D0A9GI	ILV-095	Psoriasis	696	L40
D0A9IY	PF-4447943	Alzheimer disease	331	G30
D0A9JA	Anti-CD44 mab	Acute myeloid leukemia	205	C92.0
D0A9JW	GPG	Human immunodeficiency virus infection	279.3	B20-B26
D0A9KF	Calcium carbimide	Alcohol use disorders	303	F10.2
D0A9KI	SB-242235	Arthritis	710-719	M00-M25
D0A9ML	SelG1	Vaso-occlusive crisis	282.62	D57.00
D0A9MR	Norgestrel	Contraception		Z30
D0A9OR	SLV319	Obesity	278	E66
D0A9OV	TAK165	Cancer	140-229	C00-C96
D0A9PN	GDC-0853	Cancer	140-229	C00-C96
D0A9PW	AMT-060	Factor IX deficiency		D67
D0A9SA	Canfosfamide	Solid tumours	140-199, 210-229	C00-D48
D0A9SS	Platinum-based chemotherapy or PARP inhibition	Pancreatic cancer		C25
D0A9TA	MTL-007	Cancer	140-229	C00-C96
D0A9TR	XT-101	Neuropathic pain	356.0, 356.8	G64, G90.0
D0A9VC	Anticachexia therapeutic	Cachexia	799.4	R64
D0A9VO	GYKI-52466	Alzheimer disease	331	G30
D0A9WW	FE-999040	Cancer	140-229	C00-C96
D0A9YA	Dutasteride	Benign prostatic hyperplasia	600	N40
D0A9YA	Dutasteride	Prostate cancer	185	C61
D0A9YZ	APT-102	Cerebral infarction		I63
D0A9ZA	NasoVac	Influenza virus		J11.1
D0A9ZX	Pentamycin vaginal tablets	Vulvovaginitis		N76.0
D0AA0L	Pancuronium	Anesthesia	338	R20.0
D0AA2D	Bifonazole	Fungal infections	110-118	B35-B49
D0AA2X	PNT-500	Cancer	140-229	C00-C96
D0AA6Z	Rambazole	Psoriasis	696	L40
D0AA8R	Sotirimod	Keratosis		L57.0
D0AB2G	HL-022	Cancer	140-229	C00-C96
D0AB4Q	Ispronicline	Schizophrenia; Alzheimer disease	295, 331.0	F20, G30
D0AB7G	MCI-826	Asthma		J45
D0AC0A	SB-612111	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0AC6O	OBP-AI2	Human immunodeficiency virus infection	279.3	B20-B26
D0AC7C	IPS-01003	Cancer	140-229	C00-C96
D0AC8W	RC-3095	Solid tumours	140-199, 210-229	C00-D48
D0AD4D	CXL-1020	Acute decompensated heart failure	428	I50
D0AD4H	Cethrin	Spinal cord injury		S14, S24, S34
D0AD5C	Acarbose	Cardiovascular disorder		I00-I99
D0AD5C	Acarbose	Diabetes	253.5, 588.1	E23.2, N25.1
D0AD6Z	mab 224G11	Cancer	140-229	C00-C96
D0AD8L	Vivia-577	Cancer	140-229	C00-C96
D0AD9Y	Kifunensine	Muscular dystrophy		G71.0
D0AE1E	insulin molecules, Novo	Unspecified		
D0AE1X	GS-9411	Pulmonary disease	460-519	J00-J99
D0AE2X	Sulphameth oxazole	Infection of P. falciparum 	84	B50-B54
D0AE3U	SAR-113945	Osteoarthritis	715	M15-M19, M47
D0AE3X	Brimonidine	Ocular hypertension	365.04	H40.0
D0AE3X-D0C6NM	Brimonidine + Latanoprost	Glaucoma	365	H40-H42
D0AE5K	Oxyntomodulin	Obesity	278	E66
D0AF4F	HO-4073	Cancer	140-229	C00-C96
D0AF7D	APL-180	Heart disease	390-429	I00-I52
D0AF7N	Fibrimage	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D0AF8R	P-216CM	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0AG4J	IRX-01	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0AG6K	MT201	Prostate cancer	185	C61
D0AG7N	MEDI-575	Glioblastoma multiforme	191	C71
D0AH2V	RM-6427	Cryptosporidium infection		A07.2
D0AH6V	BN-2629	Solid tumours	140-199, 210-229	C00-D48
D0AI1F	SiRNA therapy, bladder cancer	Bladder cancer	188	C67
D0AI3G	HG-1224	Immune disorder		D80-D89
D0AJ5L	Oxatomide	Hay fever	477	J30
D0AJ7H	TG-2001	Unspecified		
D0AK0Z	ICT-69	Autoimmune diabetes		E08-E13
D0AK2V	AEH-10p	Cancer	140-229	C00-C96
D0AK4H	AMG-429	Cancer	140-229	C00-C96
D0AK5G	RPAF-AH	Sepsis	995.91	A40, A41
D0AK5R	Floctafenine	Arthritis	710-719	M00-M25
D0AK8E	K-101	Onychomycosis		B35.1
D0AK9V	VRX-03011	Unspecified		
D0AL0S	GSK-1362885	Type 2 diabetes	250	E11
D0AL3O	VX-366	Hematopoietic		D50-D89
D0AL8T	Darbufelone	Asthma		J45
D0AM1S	CCD-3693	Anxiety disorder	300, 311	F32, F40-F42
D0AM4P	Interferon gamma-n1	Fungal infections	110-118	B35-B49
D0AM6F	ETX-1153c	Clostridium infection	001-139	A00-B99
D0AM8W	Zanapezil	Alzheimer disease	331	G30
D0AN1Y	L-670596	Asthma		J45
D0AN4K	NMS-1286937	Solid tumours	140-199, 210-229	C00-D48
D0AN6L	A 137491	Unspecified		
D0AN7B	Melatonin	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
D0AO0K	CNT0-5	Inflammation		E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, G89
D0AO5H	Trimethoprim	Urinary tract infections	599	N39.0
D0AO5H-D0R0BX-D0R9OH	Nitrofurantoin + Sulfamethoxazole + Trimethoprim	Urinary tract infections	599	N39.0
D0AO5H-D0R9OH	Sulfamethoxazole + Trimethoprim	Cellulitis		L03
D0AO5H-D0R9OH	Sulfamethoxazole + Trimethoprim	Infections caused by susceptible bacteria		A00-B99
D0AO5H-D0R9OH	Sulfamethoxazole + Trimethoprim	Malaria		B54
D0AO5H-D0R9OH-D0VR7W	Gemifloxacin + Sulfamethoxazole + Trimethoprim	Community-associated methicillin-resistant staphylococcus aureus		B95.6
D0AO6B	Piperacetazine	Schizophrenia	295	F20
D0AO6P	Tricyclics	Kinetoplastids	085, 086	B55, B56, B57
D0AO9S	Enflurane	Anesthesia	338	R20.0
D0AP4O	Gem 92	HIV-1 infection	001-139, 042	B20-B24
D0AP9T	Cefotetan	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0AQ3H	PF-610355	Asthma; Chronic obstructive pulmonary disease	490-492, 493, 494-496	J40-J44, J47, J45
D0AQ8F	ETV-005	Influenza virus		J11.1
D0AR0B	ACAM-2000	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
D0AR3J	Ouabain	Atrial fibrillation; Heart failure	427.31, 428.0	I48, I50
D0AR5N	BMS-824383	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0AR7L	SAR-389644	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
D0AS0V	5,8-Dihydroxy-1,4-naphthoquinone	Malaria		B54
D0AS2P	Spheron-based therapeutics	Alzheimer disease	331	G30
D0AS4C	Arylimidamides	Leishmania infection		B55.0
D0AT5Y	Radiolabeled VEGF	Atherosclerosis	414.0, 440	I70
D0AT8C	Pegfilgrastim	Non-myeloid cancer	140-199	C00-C75, C7A, C7B
D0AT8C-D0C9XJ-D0O5WP	Docetaxel + Epirubicin + Pegfilgrastim	Breast cancer	174, 175	C50
D0AV0O	OPC-51803	Urinary incontinence	788.3	N39.3, N39.4, R32
D0AV1O	Oral contraceptive	Sexual dysfunction	302.7	F52
D0AV3G	Domperidone	Gastrointestinal problems	536, 750	K30-K31, Q40-Q41
D0AW5T	PX-866	Cancer	140-229	C00-C96
D0AW7H	StromaCel	Heart disease	390-429	I00-I52
D0AW8E	Tezosentan	Cardiotonic		I50
D0AW9T	ATryn antithrombin	Multiple scierosis	340	G35
D0AX0V	SOM-1033	Asthma; Chronic obstructive pulmonary disease	490-492, 493, 494-496	J40-J44, J47, J45
D0AX1N	OGX-427	Breast cancer; Ovarian cancer; Bladder cancer; Prostate cancer; Lung cancer	140-229, 162, 183, 188	C00-C96, C33-C34, C56, C67
D0AX3M	KW-2581	Breast cancer	174, 175	C50
D0AX4E	Bertosamil	Angina pectoris	413	I20
D0AX9S	GW-409544	Hyperlipidaemia	272.0-272.4	E78
D0AY1I	GSK-2315698	Amyloidosis	277.3	E85
D0AY6U	MT-003	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0AY7K	Celiprolol hcl	Angina pectoris; Hypertension	413, 401	I20, I10-I16
D0AY9Q	Hexyl aminolevulinate	Bladder cancer	188	C67
D0AY9Q	Hexyl aminolevulinate	Cancer	140-229	C00-C96
D0AZ0T	NP-003	Parkinson's disease	332	G20
D0AZ3C	Imatinib	Chronic myelogenous leukaemia	205.1	C92.1
D0AZ3C	Imatinib	Glioma; Lung cancer; Prostate cancer; Solid tumours	140-199, 191, 210-229	C00-C75, C71, C7A, C7B, D10-D36, D3A
D0AZ3C	Imatinib	Intestinal cancer; Myeloid leukemia	152, 153, 205	C17, C18, C92
D0AZ3C-D0C8EU	Imatinib + Temozolomide	Malignant glioma tumor		C71
D0AZ3C-D0D1XW	imatinib + peg-interferon	Chronic myeloid leukaemia	205.1	C92.1
D0AZ3C-D0D3DU	Imatinib + Methotrexate Sodium	Rheumatoid arthritis	710-719, 714	M05-M06
D0AZ3C-D0E3SH	imatinib + lbh589	Chordoma		C41
D0AZ3C-D0E6XR	dasatinib + imatinib	Chronic myeloid leukaemia	205.1	C92.1
D0AZ3C-D0E7PQ	Imatinib + Vorinostat	Leukemia	208.9	C90-C95
D0AZ3C-D0LB3Z	abl001 + imatinib	Chronic myelogenous leukaemia; Philadelphia chromosome-positive acute lymphoblastic leukaemia		C90-C95
D0AZ3C-D0T6DK	Imatinib + Rapamycin	Preventing restenosis after intimal injury		S00-T88
D0AZ3Y	CTCE-0214	Hematopoietic		D50-D89
D0AZ5O	LHD-4	Cancer	140-229	C00-C96
D0AZ5V	L-698544	Alzheimer disease	331	G30
D0AZ7F	NLX-E201	Epilepsy		G40
D0AZ8C-D0PD0F	paeoniflorin + silymarin	Hepatitis autoimmune		K75.9
D0AZ8Y	Biciromab	Thromboembolism	437.6, 453, 671.5, 671.9	I80-I82
D0B0AX	HIF-1alpha	Lymphoma	202.8, 208.9	C81-C86
D0B0BE	PR-5-I	Fertility		N00-N99
D0B0BQ	Lipopeptide antibiotic program, bacterial infections	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0B0CE	Cardiospheres	Cardiac failure		I50
D0B0CP	Chlorprothixene	Psychotic disorders	290-299	F20-F29
D0B0EB	LY-929	Lipid metabolism disorder		E75-E78
D0B0EO	CPG23STEM	Insulin dependent diabetes		E10
D0B0EZ	DWJ-424	Cancer	140-229	C00-C96
D0B0GC	E-0722	Diabetic cataract		E10.36, E11.36
D0B0HK	G3139 + G-CSF	Relapsed acute leukemia	204-208	C91-C95
D0B0IU	Hemoparatide	Unspecified		
D0B0LG	Apomab	Cancer	140-229	C00-C96
D0B0MA	F-2692	Anxiety disorder	300, 311	F32, F40-F42
D0B0MQ	KP-303	Bipolar disorder	296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300	F31, F40-F42
D0B0NH	IK-5001	Congestive heart failure following acute myocardial infarction	410, 428, 428.0	I21, I21-I22, I22, I50
D0B0NQ	LY293558	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0B0OA	LEO-27847	Renal disease		N00-N29
D0B0QX	MSC-204	Human immunodeficiency virus infection	279.3	B20-B26
D0B0SH	Oxtriphylline	Cough	786.2	R05
D0B0TO	L-768277	Hyperthermia		T68
D0B0TW	SSJ-183	Malaria		B54
D0B0UN	R7232	Dyslipidaemias	272	E78
D0B0VD	MORAb-022	Autoimmune diabetes		E08-E13
D0B0WW	Physostigmine/scopolamine	Nicotine dependence	305.1	F17
D0B0XX	KH-164	Unspecified		
D0B0ZR	AF-05	Anxiety disorder	300, 311	F32, F40-F42
D0B1CF	PharmaPEG-EPO	Hematological disease		D50-D89
D0B1CJ	Amphiregulin targeting human mabs	Psoriasis	696	L40
D0B1DA	SAND-5	Glomerulonephritis	580-582	N00, N01, N03, N18
D0B1EM	Nateplase	Myocardial infarction; Thrombin deficiency	410, 437.6, 444.9, 453, 671.5, 671.9	I21, I22, I74, I80-I82, I82, O88, T79.0-T79.1
D0B1EQ	Taspoglutide	Type 1 diabetes	250	E10
D0B1EV	Cyclopentolate	Produce mydriasis and cycloplegia for diagnostic purposes		H57.04
D0B1EV-D0O6IU	Cyclopentolate + Phenylephrine	Production of mydriasis		H57.04
D0B1FE	Ebselen	Reperfusion injury and stroke	410, 434.91	I21, I22, I61-I63
D0B1FH	Benzothiazinones	Mycobacterium tuberculosis infection		A15-A19
D0B1GB	mabs targeting human growth hormone	Cancer	140-229	C00-C96
D0B1GX	Iferanserin-Ventrus	Hemorrhoids		I84
D0B1IC	CR8020 mab	Influenza virus		J11.1
D0B1IP	Etretinate	Keratosis		L57.0
D0B1IV	Vancomycin	Infections by susceptible methicillin-resistant staphylococci		A00-B99
D0B1IV	Vancomycin	Mrsa infection	41.12	A49.02
D0B1IV-D0F2XV	Aztreonam + Vancomycin	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0B1IV-D0L9UU	Gentamicin + Vancomycin	Penicillin-resistant bacterial strains		A00-B99
D0B1JE	TVX-005	Influenza virus		J11.1
D0B1KA	Radretumab	Hematological malignancies	200-209	C81-C86
D0B1KK	AZD0837	Nonvalvular atrial fibrillation; Thrombosis	427.31, 437.6, 453, 671.5, 671.9	I48, I80-I82
D0B1LN	Endothelial lipase inhibitors	Cardiovascular disorder		I00-I99
D0B1MJ	Dexniguldipine	Cancer	140-229	C00-C96
D0B1NA	PVAC	Psoriasis	696	L40
D0B1OH	ASB17061	Atopic dermatitis	691.8, 692.9	L00-L99
D0B1PC	OXECLOSPORIN	Immuno-suppressant		T86.0
D0B1PD	NPC-16377	Psychotic disorders	290-299	F20-F29
D0B1PU	CGEN-856	Cardiovascular disorder		I00-I99
D0B1RM	LP-226A1	Cancer	140-229	C00-C96
D0B1RX	ZYI-1	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0B1RY	Aom-0977	Obesity	278	E66
D0B1SA	IDC-G103	Herpes simplex virus infection	54	B00
D0B1SG	BMS-813160	Diabetic nephropathy	250.4	E11.21
D0B1TI	MPSK3169A	Cardiovascular disorder		I00-I99
D0B1TI	MPSK3169A	Metabolic disorders	270-279	E70-E89
D0B1TL	Her2-targeted autologous T-cell therapy	Glioblastoma multiforme	191	C71
D0B1TN	VLIM-88	Acute myeloid leukemia	205	C92.0
D0B1TT	AdCh63-MSP1	Malaria		B54
D0B1TX	PVAXrcPSAv53l	Prostate cancer	185	C61
D0B1VQ	GR-133347	Anxiety disorder	300, 311	F32, F40-F42
D0B1VZ	ALG-1001	Diabetic macular edema	250, 362.01, 362.07, 362.53, 782.3	E08-E13, E08.3, E09.3, E10.3, E11.3, E13.3, H35.8, R60.9
D0B1WU	C-101	Muscular dystrophy		G71.0
D0B2AH	DMP-695/696	Depression	311	F30-F39
D0B2BQ	Icopezil maleate	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
D0B2BY	TAK-661	Inflammation		E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, G89
D0B2CQ	GR-131663	Anxiety disorder	300, 311	F32, F40-F42
D0B2DP	Triclofos Sodium	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
D0B2GI	Glimepiride	Diabetes	253.5, 588.1	E23.2, N25.1
D0B2GI-D0D7LA	Glimepiride + Metformin	Type 2 diabetes	250	E11
D0B2GI-D0D7LA	Glimepiride + Metformin	Type 2 diabetes	250	E11
D0B2GI-D0D7LA-D0K5ER	Glimepiride + Metformin + Rosiglitazone	Type 2 diabetes	250	E11
D0B2GI-D0D7LA-D0K5ER-D0R6CD	Glimepiride + Insulin + Metformin + Rosiglitazone	Type 2 diabetes	250	E11
D0B2GI-D0D7LA-D0R6CD	Glimepiride + Insulin glargine + Metformin	Diabetes	253.5, 588.1	E23.2, N25.1
D0B2GI-D0D7LA-D0U2JP	Glimepiride + Metformin + Sitagliptin	Type 2 diabetes	250	E11
D0B2GI-D0K5ER	Glimepiride + Rosiglitazone	Type 2 diabetes	250	E11
D0B2HC	GSK-2302032A	Non-small cell lung cancer		C33-C34
D0B2HE	RypVax	Yersinia infection	20	A20
D0B2HF	OI287GT	Type 1/2 diabetes	250, 278	E08-E13
D0B2IB	KBPA-103	Pseudomonas aeruginosa infection	001-139	B96.5
D0B2JL	JWB-1-84-1	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
D0B2LF	R-253	Cancer	140-229	C00-C96
D0B2NF	AEB701	Melanoma	172	C43
D0B2OC	R-sibutramine metabolite	Depression; Attention deficit hyperactivity disorder	311, 314.00, 314.01	F30-F39, F90
D0B2OL	AA-2379	Inflammation		E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, G89
D0B2OT	Isoflurophate	Glaucoma	365	H40-H42
D0B2RZ	ADX-71943	Gastroesophageal reflux disease	140-229, 530	K21
D0B2SW	ASP-3291	Ulcerative colitis	556	K51
D0B2UZ	Prochlorperazine	Nausea; Vomiting	787, 787.0	R11
D0B2UZ-D0B3HD-D0R1RS	Caffeine + Indomethacin + Prochlorperazine	Migraine and tension-type headache		G44.209
D0B2UZ-D0IT2G-D0J5KF	Dexamethasone + Granisetron + Prochlorperazine	Breast cancer	174, 175	C50
D0B2UZ-D0LR0R	Methdilazine + Prochlorperazine	Drug-resistance in bacterial infections		A00-B99
D0B2WJ	Flufenamic Acid	Dysmenorrhea	625.3	N94.4-N94.6
D0B2WK	Ifetroban sodium	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D0B2WQ	Lomeguatrib	Cancer	140-229	C00-C96
D0B2WQ-D0C8EU	Lomeguatrib + Temozolomide	Metastatic colorectal cancer	153, 154	C18-C21
D0B2XS	Autologous myoblast cell therapy	Myocardial infarction	410	I21, I22
D0B2ZM	GB-2542	Cancer	140-229	C00-C96
D0B2ZZ	Esomeprazole magnesium + Aspirin	Peptic ulcer	531-534	K25-K27
D0B3CC	AlloStim	Cancer	140-229	C00-C96
D0B3CT	BE-13793C	Cancer	140-229	C00-C96
D0B3CY	L-692429	Growth hormone deficiency	253.0, 253.3	E22.0, E23.0
D0B3DE	AVN-628	Anxiety disorder	300, 311	F32, F40-F42
D0B3DX	Norelin	Prostate cancer	185	C61
D0B3FV	NVP-LAQ824	General leukaemia cancer	204-208	C91-C95
D0B3FV	NVP-LAQ824	Severe mood disorders	296	F30-F39
D0B3GF	JNJ-26854165	Non-small cell lung cancer; Prostate cancer	185	C33-C34, C61
D0B3HD	Caffeine	Fatigue; Orthostatic hypotension	458.0, 780.7	I95.1, R53
D0B3HD-D0D9FV-D0GY5Z	Aspirin + Caffeine + Orphenadrine	Mild to moderate pain of acte musculoskeletal disorders		R52, G89
D0B3HD-D0GY5Z-D0T6RC	Aspirin + Caffeine + Dihydrocodeine	Severe pain		R52, G89
D0B3HD-D0GY5Z-D0U5QK	Acetaminophen + Aspirin + Caffeine	Mild to moderate migraine pain		R52, G89
D0B3HD-D0R1QE	ibuprofen + caffeine	Postoperative pain; Tooth diseases; Headache	339, 784.0	G89, G43-G44, R51
D0B3HD-D0S9MU	maxalt + caffeine	Migraine with aura; Migraine without aura		G43
D0B3HD-D0T6RC-D0U5QK	Acetaminophen + Caffeine + Dihydrocodeine	Moderate to moderately severe pain		R52, G89
D0B3HP	SGC-1061	Alzheimer disease	331	G30
D0B3IC	Dopropidil	Angina pectoris	413	I20
D0B3ID	Medi-NK	Lung cancer	162	C33-C34
